ad_name,status,spent_total,impressions,clicks,ecpc,listens_started,audio_added,audio_added_price,audio_shared,playlist_added,playlist_added_price,playlist_shared,view_start,view_25,view_50,view_75,view_100,campaign_id,ad_id,group_id
A_0073,deleted,948.77,6034,5,2.32,2,1,20.11,8,17,466.78,0,54,225,170,24,133,C_0073,A_0073,G_0073
A_0074,blocked,8.7,17,4,7.55,35,4,48.6,3,1,16.22,0,0,7,2,0,0,C_0074,A_0074,G_0074
A_0075,deleted,34.2,376,15,7.19,2,1,40.38,2,1,1.61,0,30,287,575,42,104,C_0075,A_0075,G_0075
A_0076,deleted,528.44,2801,129,10.6,134,1,33.5,18,1,27.43,0,69,440,166,4,5,C_0076,A_0076,G_0076
A_0077,deleted,233.38,1580,7,6.89,1,8,35.98,6,3,114.95,0,1781,563,333,17,531,C_0077,A_0077,G_0077
A_0078,blocked,3.75,19,0,1.59,0,2,39.18,3,5,118.08,0,0,7,1,1,17,C_0078,A_0078,G_0078
A_0079,blocked,256.18,1406,61,2.21,30,170,91.47,38,294,826.27,0,436,110,9,4,183,C_0079,A_0079,G_0079
A_0080,deleted,1011.57,6129,143,5.13,115,469,162.65,36,2,20.9,0,72,158,58,11,17,C_0080,A_0080,G_0080
A_0081,deleted,37.86,142,3,5.8,3,1,4.12,7,44,420.27,0,0,4,8,0,3,C_0081,A_0081,G_0081
A_0082,active,228.85,1505,48,12.06,26,5,79.54,6,5,414.25,0,1,52,20,0,8,C_0082,A_0082,G_0082
A_0083,deleted,0.0,0,0,4.56,0,1,1.6,0,30,577.58,0,0,2,1,0,0,C_0083,A_0083,G_0083
A_0084,deleted,141.02,463,3,5.93,59,6,43.73,15,1,21.48,0,326,521,469,6,49,C_0084,A_0084,G_0084
A_0085,deleted,181.42,788,80,9.51,80,3,51.95,5,45,112.31,0,3,26,197,20,559,C_0085,A_0085,G_0085
A_0086,deleted,0.0,0,0,0.18,0,1,0.38,1,2,21.71,0,0,1,1,0,0,C_0086,A_0086,G_0086
A_0087,deleted,59.71,178,0,3.23,0,1,9.58,1,1,37.87,0,159,347,88,49,236,C_0087,A_0087,G_0087
A_0088,deleted,2677.01,14914,204,8.85,702,104,64.16,16,38,423.32,0,4769,1706,1871,49,576,C_0088,A_0088,G_0088
A_0089,deleted,1.22,5,1,1.93,1,2,39.07,3,1,29.25,0,0,131,383,0,131,C_0089,A_0089,G_0089
A_0090,deleted,116.07,266,6,9.02,1,1,7.95,1,1,52.79,0,498,840,510,20,410,C_0090,A_0090,G_0090
A_0091,blocked,4.41,39,6,3.34,27,1,32.76,5,119,662.42,0,4,63,84,2,47,C_0091,A_0091,G_0091
A_0092,deleted,37.86,221,3,2.63,14,1,19.88,0,34,397.61,0,21,101,45,0,12,C_0092,A_0092,G_0092
A_0093,deleted,1608.7,7628,526,16.78,1025,87,121.48,8,1,58.96,0,1090,1580,502,8,45,C_0093,A_0093,G_0093
A_0094,blocked,475.49,2285,8,3.61,46,1,38.4,4,1,11.7,0,100,766,578,14,401,C_0094,A_0094,G_0094
A_0095,blocked,0.01,0,0,1.44,0,1,11.07,1,1,60.74,0,1,4,9,0,1,C_0095,A_0095,G_0095
A_0096,deleted,195.92,652,5,3.03,48,1,17.75,3,1,83.23,0,15,60,2,0,60,C_0096,A_0096,G_0096
A_0097,deleted,3865.44,23710,172,13.12,444,6,125.13,1,1,55.59,0,173,378,85,2,38,C_0097,A_0097,G_0097
A_0098,deleted,0.37,1,0,4.93,0,1,0.66,0,1,29.59,0,0,1,1,0,0,C_0098,A_0098,G_0098
A_0099,deleted,4.43,15,0,2.95,0,1,58.79,0,1,100.72,0,0,2,1,0,0,C_0099,A_0099,G_0099
A_0100,deleted,5667.16,30817,664,27.38,2305,3,5.51,4,1,2.24,0,14666,6412,7689,280,2156,C_0100,A_0100,G_0100
A_0101,blocked,9.85,41,7,8.06,8,1,8.27,2,1,75.55,0,3,41,1,0,1,C_0101,A_0101,G_0101
A_0102,deleted,0.01,0,0,0.92,0,1,4.13,15,1,63.66,0,0,1,1,0,0,C_0102,A_0102,G_0102
A_0103,deleted,1760.47,7040,150,11.22,386,1,31.12,5,203,405.78,0,3391,1212,1443,45,286,C_0103,A_0103,G_0103
A_0104,deleted,23.99,92,1,5.27,2,1,7.08,1,1,5.33,0,0,8,1,0,1,C_0104,A_0104,G_0104
A_0105,blocked,834.1,5949,0,6.81,0,1,0.06,2,41,572.87,0,14,5,1,0,0,C_0105,A_0105,G_0105
A_0106,deleted,64.7,344,3,3.9,0,1,1.87,12,1,57.09,0,711,206,12,0,1,C_0106,A_0106,G_0106
A_0107,deleted,7.79,22,1,5.0,0,2,69.86,1,16,296.61,0,1,24,14,0,6,C_0107,A_0107,G_0107
A_0108,deleted,0.73,2,0,3.69,0,1,41.83,5,1,0.02,0,0,14,27,0,2,C_0108,A_0108,G_0108
A_0109,deleted,4.62,21,27,6.75,15,2,46.7,11,1,259.8,0,2,6,2,0,0,C_0109,A_0109,G_0109
A_0110,deleted,251.35,1454,114,12.33,96,1,3.9,13,1,10.56,0,11,114,16,2,11,C_0110,A_0110,G_0110
A_0111,deleted,8.37,26,0,0.67,0,1,3.56,8,506,1303.54,0,5,48,7,0,0,C_0111,A_0111,G_0111
A_0112,deleted,11.56,73,8,2.05,16,1,15.39,6,10,295.65,0,1,15,1,0,0,C_0112,A_0112,G_0112
A_0113,blocked,111.15,368,7,6.15,14,9,38.2,3,1,25.23,0,51,49,8,0,6,C_0113,A_0113,G_0113
A_0114,deleted,413.85,3121,35,9.21,12,6,108.33,1,1,18.91,0,182,201,101,0,4,C_0114,A_0114,G_0114
A_0115,blocked,489.41,3325,19,4.19,159,5,13.5,7,1,0.14,0,291,120,22,4,19,C_0115,A_0115,G_0115
A_0116,deleted,33.55,139,18,11.64,54,2,66.9,1,1,87.83,0,63,144,2,0,0,C_0116,A_0116,G_0116
A_0117,deleted,149.13,760,2,2.53,2,1,2.92,5,30,301.78,0,89,106,63,7,27,C_0117,A_0117,G_0117
A_0118,deleted,22.68,74,33,8.07,80,9,157.47,0,51,396.71,0,3,234,397,8,211,C_0118,A_0118,G_0118
A_0119,deleted,348.69,1489,1,2.95,1,2,16.28,0,1,34.05,0,7,90,42,2,25,C_0119,A_0119,G_0119
A_0120,deleted,58.14,330,8,4.11,3,1,21.79,2,3,134.23,0,12,24,25,7,11,C_0120,A_0120,G_0120
A_0121,deleted,231.0,714,8,9.59,28,1,9.84,6,1,29.68,0,67,122,8,0,11,C_0121,A_0121,G_0121
A_0122,deleted,2.05,8,0,1.6,0,1,3.19,1,1,4.16,0,1,2,2,0,0,C_0122,A_0122,G_0122
A_0123,deleted,38.94,165,0,3.35,0,3,63.27,12,18,199.31,0,370,226,991,24,110,C_0123,A_0123,G_0123
A_0124,deleted,1508.31,7860,110,12.72,230,1,34.2,9,209,691.12,0,3542,3667,5334,183,799,C_0124,A_0124,G_0124
A_0125,deleted,0.7,1,0,2.52,0,1,31.62,2,1,183.01,0,0,17,2,0,0,C_0125,A_0125,G_0125
A_0126,blocked,143.51,440,54,11.25,117,160,94.48,8,7,347.62,0,174,349,222,17,217,C_0126,A_0126,G_0126
A_0127,deleted,12.26,62,0,1.36,0,1,33.12,1,125,704.12,0,0,1,1,0,1,C_0127,A_0127,G_0127
A_0128,deleted,85.13,237,15,7.12,52,13,50.56,3,66,585.99,0,41,445,364,7,33,C_0128,A_0128,G_0128
A_0129,deleted,2086.33,11912,39,5.86,101,30,167.05,5,1,201.23,0,1993,2003,762,38,498,C_0129,A_0129,G_0129
A_0130,blocked,2460.22,13545,177,17.25,200,108,153.51,3,181,592.29,0,1355,835,932,76,544,C_0130,A_0130,G_0130
A_0131,deleted,5496.58,31433,619,14.96,948,278,71.5,38,2,143.89,0,1375,1432,677,24,283,C_0131,A_0131,G_0131
A_0132,deleted,383.22,1471,25,7.0,7,2,70.45,2,8,206.25,0,92,345,699,43,470,C_0132,A_0132,G_0132
A_0133,deleted,2344.91,13797,105,9.29,756,66,113.16,20,1,17.45,0,2852,1121,365,36,84,C_0133,A_0133,G_0133
A_0134,blocked,0.0,0,0,0.79,0,1,0.0,0,1,4.17,0,0,1,1,0,0,C_0134,A_0134,G_0134
A_0135,deleted,0.5,3,0,2.41,0,1,0.56,0,1,38.63,0,0,5,1,0,0,C_0135,A_0135,G_0135
A_0136,deleted,90.84,313,6,7.69,0,3,127.03,0,1,198.05,0,0,4,15,2,10,C_0136,A_0136,G_0136
A_0137,blocked,7.91,34,1,7.51,0,1,31.99,0,1,28.36,0,6,12,8,1,0,C_0137,A_0137,G_0137
A_0138,deleted,2214.52,13785,22,8.09,19,5,58.43,0,1,20.07,0,362,135,46,2,4,C_0138,A_0138,G_0138
A_0139,blocked,0.21,0,0,0.86,0,1,23.13,2,3,333.04,0,10,9,1,0,75,C_0139,A_0139,G_0139
A_0140,deleted,67.53,334,4,4.3,1,1,7.49,2,8,148.9,0,382,393,22,3,2,C_0140,A_0140,G_0140
A_0141,deleted,367.3,1273,126,12.99,458,65,91.5,11,8,337.86,0,3051,3705,2896,76,100,C_0141,A_0141,G_0141
A_0142,deleted,3.97,12,0,1.48,0,1,18.79,0,1,13.03,0,562,101,1,0,1,C_0142,A_0142,G_0142
A_0143,deleted,982.42,3654,32,10.37,288,1,7.04,5,8,199.84,0,519,592,454,3,10,C_0143,A_0143,G_0143
A_0144,deleted,3556.33,21867,53,10.82,6,2,7.23,15,1,170.7,0,9815,3307,1292,59,115,C_0144,A_0144,G_0144
A_0145,blocked,81.82,332,2,3.71,2,1,28.57,12,5,293.66,0,0,7,25,1,23,C_0145,A_0145,G_0145
A_0146,blocked,7.24,13,1,5.19,0,1,33.5,0,65,458.67,0,0,2,1,0,0,C_0146,A_0146,G_0146
A_0147,deleted,258.96,811,25,9.54,0,1,25.39,5,515,1256.74,0,17,212,750,32,243,C_0147,A_0147,G_0147
A_0148,blocked,86.09,566,15,8.25,24,2,59.13,2,84,583.65,0,115,366,17,0,16,C_0148,A_0148,G_0148
A_0149,deleted,0.25,1,0,3.16,0,1,24.62,1,1,26.31,0,0,4,6,0,1,C_0149,A_0149,G_0149
A_0150,deleted,0.07,0,0,2.82,0,1,3.28,0,1,20.2,0,1,35,3,0,1,C_0150,A_0150,G_0150
A_0151,deleted,819.05,4118,393,15.95,327,236,104.73,20,1,77.94,0,5933,5803,6346,286,1097,C_0151,A_0151,G_0151
A_0152,deleted,1304.85,6076,134,16.05,218,1,16.73,5,1,116.77,0,268,171,14,1,30,C_0152,A_0152,G_0152
A_0153,deleted,171.69,632,69,16.42,8,1,10.57,1,12,439.96,0,1068,1944,1670,37,604,C_0153,A_0153,G_0153
A_0154,deleted,766.15,5114,39,13.41,73,1,50.53,16,1,69.16,0,17,778,328,26,187,C_0154,A_0154,G_0154
A_0155,deleted,205.81,982,5,4.4,3,23,110.91,5,8,276.87,0,705,220,122,6,86,C_0155,A_0155,G_0155
A_0156,deleted,252.47,1208,20,10.81,17,1,13.76,9,4,152.26,0,2,183,20,0,38,C_0156,A_0156,G_0156
A_0157,deleted,15.3,37,40,4.63,53,16,190.75,2,847,1578.57,0,38,102,142,3,24,C_0157,A_0157,G_0157
A_0158,deleted,3646.49,21344,334,15.97,347,91,114.67,8,1,36.1,0,5356,1247,705,8,815,C_0158,A_0158,G_0158
A_0159,deleted,12.74,66,0,1.73,0,1,42.35,0,271,649.5,0,140,133,12,1,10,C_0159,A_0159,G_0159
A_0160,deleted,138.16,655,13,5.85,5,1,16.6,1,72,500.6,0,123,52,3,0,2,C_0160,A_0160,G_0160
A_0161,deleted,187.07,591,6,2.97,12,2,65.4,4,4,113.29,0,4,1,1,0,0,C_0161,A_0161,G_0161
A_0162,deleted,305.56,2361,39,8.55,123,1,15.09,2,59,648.76,0,749,103,3,0,2,C_0162,A_0162,G_0162
A_0163,deleted,1105.61,5640,171,8.9,397,27,104.36,2,1,29.51,0,1163,2317,494,68,626,C_0163,A_0163,G_0163
A_0164,active,3682.32,15925,108,10.97,115,3,43.84,1,1,89.15,0,225,389,162,1,41,C_0164,A_0164,G_0164
A_0165,blocked,181.7,1201,35,9.1,41,7,69.45,1,77,547.57,0,49,13,24,8,23,C_0165,A_0165,G_0165
A_0166,deleted,4.01,12,3,4.86,0,1,13.79,6,91,531.27,0,2,62,9,0,0,C_0166,A_0166,G_0166
A_0167,deleted,354.61,1930,8,1.87,27,117,75.27,32,22,190.24,0,2294,1024,2822,98,639,C_0167,A_0167,G_0167
A_0168,deleted,0.99,13,61,8.49,168,25,116.67,2,1,1.71,0,295,466,30,4,83,C_0168,A_0168,G_0168
A_0169,deleted,124.81,972,3,3.89,2,2,106.93,0,1,65.18,0,10,209,22,1,10,C_0169,A_0169,G_0169
A_0170,deleted,790.47,4101,153,16.67,831,1,47.62,6,79,546.07,0,4,58,3,0,1,C_0170,A_0170,G_0170
A_0171,blocked,901.99,5190,104,12.1,514,7,129.08,2,26,571.73,0,2549,3074,1225,72,169,C_0171,A_0171,G_0171
A_0172,deleted,613.53,3228,222,14.0,702,121,239.1,23,29,207.53,0,698,1773,1379,105,614,C_0172,A_0172,G_0172
A_0173,deleted,14.05,23,0,5.14,0,2,103.51,1,1,102.45,0,1,71,4,0,51,C_0173,A_0173,G_0173
A_0174,deleted,75.25,171,63,16.37,222,4,70.38,8,10,452.79,0,908,328,94,6,55,C_0174,A_0174,G_0174
A_0175,deleted,228.8,956,2,3.04,7,24,46.77,2,92,393.8,0,94,466,683,33,172,C_0175,A_0175,G_0175
A_0176,deleted,625.49,2923,150,17.3,40,1,9.75,11,40,168.12,0,923,824,426,8,401,C_0176,A_0176,G_0176
A_0177,deleted,3.12,7,0,0.8,0,1,9.77,2,1,15.46,0,0,3,3,0,2,C_0177,A_0177,G_0177
A_0178,deleted,158.08,335,2,4.24,0,20,20.01,12,113,502.06,0,365,108,224,12,162,C_0178,A_0178,G_0178
A_0179,deleted,1686.58,6829,105,10.88,420,155,163.43,5,36,306.6,0,313,246,118,9,108,C_0179,A_0179,G_0179
A_0180,deleted,2468.45,17180,201,11.91,222,72,236.91,12,10,315.92,0,2661,981,2310,97,756,C_0180,A_0180,G_0180
A_0181,deleted,0.2,0,0,3.24,0,1,3.24,0,5,270.93,0,0,1,1,0,0,C_0181,A_0181,G_0181
A_0182,blocked,176.64,1150,26,12.66,22,1,24.52,0,1,32.04,0,79,85,3,3,0,C_0182,A_0182,G_0182
A_0183,deleted,580.68,4421,0,3.98,0,1,2.15,1,2,267.82,0,28,140,357,5,167,C_0183,A_0183,G_0183
A_0184,active,438.37,2258,13,10.83,2,1,20.11,3,1,11.98,0,0,67,110,13,115,C_0184,A_0184,G_0184
A_0185,deleted,1290.86,7900,131,11.1,393,16,42.68,4,2,187.2,0,2051,2799,1750,14,201,C_0185,A_0185,G_0185
A_0186,deleted,26.84,106,39,11.69,67,1,17.95,0,2,128.52,0,866,369,50,1,18,C_0186,A_0186,G_0186
A_0187,blocked,0.8,2,1,2.88,0,2,11.84,1,199,509.32,0,0,1,1,0,1,C_0187,A_0187,G_0187
A_0188,deleted,51.98,257,9,7.3,0,1,34.78,0,1,153.02,0,63,42,9,0,2,C_0188,A_0188,G_0188
A_0189,blocked,3.63,15,0,2.69,0,1,0.0,9,1,1.5,0,219,73,91,5,50,C_0189,A_0189,G_0189
A_0190,deleted,0.0,0,0,2.5,0,1,14.41,0,17,282.56,0,0,1,1,0,0,C_0190,A_0190,G_0190
A_0191,deleted,0.1,0,0,4.03,0,1,2.16,0,7,512.38,0,0,1,1,0,0,C_0191,A_0191,G_0191
A_0192,deleted,5.88,17,91,14.97,530,1,22.03,3,1,0.58,0,229,575,162,1,9,C_0192,A_0192,G_0192
A_0193,deleted,46.42,257,12,4.69,58,1,31.99,4,1,33.82,0,0,124,35,0,18,C_0193,A_0193,G_0193
A_0194,blocked,934.5,3716,175,16.26,705,2,14.51,16,1,143.02,0,3170,3059,2772,129,292,C_0194,A_0194,G_0194
A_0195,blocked,1123.08,6593,23,5.9,25,15,48.0,11,1,62.58,0,375,103,35,1,5,C_0195,A_0195,G_0195
A_0196,blocked,5.82,34,0,1.18,0,1,6.63,7,12,284.25,0,0,2,1,0,0,C_0196,A_0196,G_0196
A_0197,deleted,33.95,143,16,6.79,4,1,4.81,3,2,41.29,0,11,6,1,0,0,C_0197,A_0197,G_0197
A_0198,deleted,1.71,6,0,0.77,0,1,0.33,4,1,10.33,0,0,1,1,0,3,C_0198,A_0198,G_0198
A_0199,deleted,0.61,2,0,1.48,0,1,32.16,2,23,461.31,0,0,7,1,0,0,C_0199,A_0199,G_0199
A_0200,deleted,3.81,4,2,3.87,4,11,46.36,10,1,194.66,0,1,4,1,0,0,C_0200,A_0200,G_0200
A_0201,deleted,260.07,1432,44,8.06,32,1,26.64,3,1,76.84,0,155,51,12,6,40,C_0201,A_0201,G_0201
A_0202,blocked,26.38,77,1,5.07,0,1,3.9,4,2,290.54,0,10,2,1,0,0,C_0202,A_0202,G_0202
A_0203,blocked,787.69,3950,0,4.58,0,1,19.13,6,1,12.98,0,0,35,1,0,1,C_0203,A_0203,G_0203
A_0204,deleted,622.63,2206,1,4.89,1,1,18.44,5,7,283.77,0,52,38,27,12,85,C_0204,A_0204,G_0204
A_0205,deleted,2644.76,12803,175,13.62,394,42,64.86,8,112,317.71,0,1944,927,635,5,81,C_0205,A_0205,G_0205
A_0206,deleted,36.36,147,3,7.96,7,1,51.07,0,9,156.59,0,579,36,1,0,0,C_0206,A_0206,G_0206
A_0207,deleted,4284.24,25674,174,11.89,342,69,101.37,31,1,33.82,0,739,1092,995,64,219,C_0207,A_0207,G_0207
A_0208,deleted,107.32,423,9,5.66,12,1,2.46,0,1,98.71,0,78,484,226,5,22,C_0208,A_0208,G_0208
A_0209,deleted,4091.32,20250,378,14.43,691,72,69.36,8,2,83.11,0,1769,2342,859,27,376,C_0209,A_0209,G_0209
A_0210,deleted,12.89,39,2,5.62,1,1,17.72,1,68,586.12,0,0,10,1,0,0,C_0210,A_0210,G_0210
