group_name,status,budget_total,budget_daily,spent_total,impressions,clicks,ecpc,listens_started,audio_added,audio_added_price,audio_shared,playlist_added,playlist_added_price,playlist_shared,view_start,view_25,view_50,view_75,view_100,group_id,target_price,strategy,campaign_id
Саша Санта - ж 29- 35 - слушатели - Мохито - Перед рассветом (Remix) (скрытые) - похожие,blocked,-,5000,1636.48,4934,5,6.36,36,1,17.89,1,211,475.26,0,241,72,27,17,1,15879001,Авто,Минимальная цена,16149720
м 29-35 - слушатели - Grivina - Пьяная (скрытые),deleted,-,3000,104.02,1288,33,0.91,222,1,10.14,5,2,21.42,0,510,26,128,499,23,14750420,Авто,Минимальная цена,16472518
База EMIN 4+,deleted,-,100,3541.57,14289,188,18.17,231,293,78.84,5,3,56.85,0,144,97,19,2,0,16297222,Авто,Минимальная цена,19290488
Дмитрий Колдун - ж 24-45 - EMIN - Жизнь игра - похожие,deleted,Бюджет кампании,-,0.0,0,0,0.33,1,1,0.2,0,0,0.02,0,1,0,1,1,0,14860428,Цена кампании,Целевая цена,16975721
мж 19-45 - слушатели - DJ DimixeR - Перед рассветом (Remix) (премьерный),deleted,-,1500,339.07,1095,74,9.75,257,7,33.15,6,12,111.12,0,3583,303,299,266,40,480087,Авто,Минимальная цена,16535629
ж 29-35 - подписчики - EMIN - Жизнь игра (скрытые),deleted,-,500,4369.26,19429,663,12.92,1365,1495,77.21,27,3,64.24,0,13340,3272,4318,3861,685,3366251,Авто,Минимальная цена,16805402
более 3 - мж 25-34 - Idris и Leos - Боль и страх (скрытые),deleted,-,1475,10813.11,46739,1302,36.15,3716,509,142.15,13,60,377.04,0,23206,3555,3087,2394,576,6173248,Авто,Минимальная цена,15854870
ж 45-55- слушатели - ALEX ANDREEV - Пьяная любовь (скрытые),deleted,-,300,4051.13,15844,99,8.67,295,60,48.47,9,210,432.0,0,1143,117,11,13,0,14874955,Авто,Минимальная цена,16013576
ж 35-54 - подписчики - SEREBRO - Снег идёт,deleted,-,1000,10242.72,41480,1424,53.52,2013,843,54.74,16,26,128.71,0,11276,1717,1050,685,221,14665100,Цена кампании,Минимальная цена,15780869
Слушатели EMIN,deleted,-,5000,6073.45,25385,691,36.26,973,1542,129.09,14,7,78.16,0,38419,6689,6497,5368,1046,10191687,Цена кампании,-,15211086
Бабек Мамедрзаев - мж 18-44 - Руслан Добрый - Верный друг (скрытые),deleted,-,1000,26448.18,123687,1453,34.89,2107,2075,75.75,19,2,71.05,0,77541,12979,9121,8397,2389,14833924,Цена кампании,Минимальная цена,16151500
Idris & Leos - ж 18-34 - базы - SAYAN - Закрой мои глаза (скрытые) от 26.03 - обложка,deleted,-,1000,355.29,2572,0,0.06,11,158,57.7,4,25,175.35,0,244,17,74,53,0,5192949,Авто,Минимальная цена,18930615
"HAMMALI & NAVAI - м 24-45 - слушатели - СНГ - HAMMALI, Akmal' - О чем ты не спишь по ночам (скрытые)  - слушатели",deleted,-,3000,260.96,978,5,1.38,46,60,47.59,1,0,21.44,0,192,31,144,123,10,10036328,Авто,Минимальная цена,16464703
Копия мж 18-34 - базы+подписчики - SAYAN - Закрой мои глаза (скрытые) - обложка,blocked,-,7000,2581.61,12176,91,0.5,914,982,119.02,22,128,507.05,0,721,90,19,51,1,2298559,Авто,-,19258475
ролик 2 - мж 18-44 - более 8 - Idris & Leos - Я тобой болен (скрытые),active,-,3000,2465.4,14647,82,9.19,57,178,47.92,3,197,512.03,0,2126,128,170,494,93,13830509,Авто,Минимальная цена,19288072
"ж 35-44 - подписчики - Алсу, Ева Власова - Белая Фата - Ева Власова (скрытые)",blocked,-,2000,297.41,1653,5,0.17,78,47,32.67,12,589,977.41,0,21,5,27,84,56,4666309,Авто,-,17715427
DAKENA_Спишь?_ЦД_AURANA,deleted,-,Бюджет кампании,873.22,3125,3,0.16,28,28,41.16,2,503,941.7,0,9,0,1,1,0,4568919,Цена кампании,-,15227144
База EMIN 5+,blocked,-,10000,5173.71,19883,133,2.44,761,829,127.35,27,19,148.34,0,4253,1402,1128,1092,128,5166391,Авто,Минимальная цена,19333255
Джоззи - мж 18-44 - подписчики - HOVO - Снег (скрытые),deleted,-,100,18294.12,89452,2104,85.35,2642,847,190.37,20,7,129.92,0,54117,6964,6353,4577,622,13653800,Цена кампании,Минимальная цена,16014168
Россия - ж 25-44 - EMIN - Жизнь игра - более 5 (скрытые),blocked,-,1000,4.09,10,0,0.47,1,11,22.82,2,4,149.54,0,82,7,26,6,0,14840086,Цена кампании,Минимальная цена,17486135
ж 21-55 - Активные подписчики - Сателлит feat. Рина - По следам любви (скрытые),deleted,-,Бюджет кампании,148.52,500,7,4.64,67,3,15.1,0,0,5.34,0,1186,333,107,35,4,1582173,Цена кампании,Минимальная цена,16463661
"ж 45-54 - слушатели - Алсу, Ева Власова - Белая Фата - Ева Власова (скрытые)",deleted,-,10000,13617.53,44081,994,66.7,1717,227,101.28,10,0,7.06,0,24355,4711,1685,1532,126,5092161,Авто,Минимальная цена,17098232
Elsandobry+4 - ж 25-34 - базы - SAYAN - Бросай курить (скрытые),blocked,-,1500,1900.33,11368,85,14.33,228,101,32.64,1,8,113.09,0,3054,405,177,382,51,9155256,70,Минимальная цена,19258475
Стас 8+_мж 30-55_Слушатели_Стас Михайлов_Летай_ЦД (музыка),deleted,-,10000,15045.3,58996,708,35.49,1857,876,168.88,16,358,788.27,0,43428,6594,4254,3099,528,16413082,Авто,Минимальная цена,15406380
ж 35-44 - слушатели - ALEX ANDREEV - I love you (скрытые),blocked,-,1000,3431.68,13673,77,2.58,210,1309,120.08,23,1,38.97,0,756,304,228,229,55,11486616,Авто,Целевая цена,15933553
Аудитория Эллаи,deleted,-,-,280.88,1292,38,6.12,49,86,85.68,16,44,212.74,0,1991,789,480,460,48,9652865,Цена кампании,Минимальная цена,15406448
Азамат Биштов - м 19-35 - слушатели - Марат Альборов - Другой не надо (скрытые),blocked,-,300,49.52,423,8,0.24,62,194,48.28,7,13,75.54,0,843,327,714,386,121,7737720,Авто,Минимальная цена,16474486
"Esya - мж 18-44 - слушатели - SAYAN - Тот, кто (скрытые)",deleted,-,1000,527.62,1548,6,6.02,3,3,21.05,3,26,208.64,0,4,2,2,2,0,14282982,Авто,Минимальная цена,16472518
Doppiez,deleted,-,3000,932.79,5363,121,10.24,141,123,38.8,7,23,162.48,0,7709,443,77,37,3,10683857,Авто,Минимальная цена,16422522
м 17-24 - слушатели - Idris и Leos - Боль и страх (скрытые),deleted,-,Бюджет кампании,440.55,2646,8,4.68,3,1,16.73,1,795,1690.52,0,112,68,7,8,0,2798550,Цена кампании,-,15854891
"Akmal' - м 24-35- слушатели - HAMMALI, Akmal' - О чем ты не спишь по ночам (скрытые)",deleted,-,700,14780.62,66942,619,15.88,732,1099,51.67,37,173,602.95,0,14304,2164,500,735,92,6441351,Авто,Минимальная цена,16013955
м 25-29 - слушатели - Idris и Leos - Боль и страх (скрытые),deleted,-,500,55.18,267,4,0.92,113,74,117.77,1,234,691.77,0,346,42,65,25,5,3221127,Авто,Минимальная цена,16013955
Копия Damir Za Vas - ж 25-34 - базы - SAYAN - Бросай курить (скрытые),blocked,Бюджет кампании,1000,0.68,2,0,0.07,1,2,8.79,0,185,549.14,0,5,1,2,3,0,10463343,Авто,-,19333255
Kristian - мж 18-55 - слушатели - NAKHAT - На репите (скрытые),blocked,-,300,115.78,460,0,0.2,23,11,8.66,0,0,5.75,0,25,6,5,4,1,2843409,Авто,Минимальная цена,16149720
Копия м 25-28 - подписчики - Руки Вверх! - Новый год (скрытые),deleted,-,1000,555.81,3823,93,3.48,230,530,151.17,1,108,361.42,0,1336,71,327,437,68,13549522,Авто,Минимальная цена,15779672
ж 30-35 - подписчики - Idris и Leos - Боль и страх (скрытые),deleted,-,1300,0.31,0,1,0.63,6,1,2.33,3,3,92.23,0,1,0,2,6,0,10086743,Авто,Минимальная цена,15936312
Дубцова Ирина - ж 24-45 - v.4 EMIN - Жизнь игра -  похожие + фиты (скрытые),active,-,1000,3024.59,18969,43,2.17,148,43,19.04,17,0,0.23,0,4035,835,156,43,5,2830009,Цена кампании,-,17529525
ТИШИНА - мж 18-44 - Руслан Добрый - Верный друг (скрытые),deleted,-,3000,20664.59,102851,1499,34.86,2911,1055,124.24,20,1,29.7,0,71665,10947,7546,5926,1316,12010910,Авто,Минимальная цена,16013955
EMIN 3+ - м 35-44 - EMIN - Зима (скрытые),deleted,-,1000,3415.12,17374,232,13.53,456,545,179.59,3,17,140.82,0,10221,1024,174,22,9,6674071,Авто,Минимальная цена,15406380
"С.Михайлов - ж 35-44 - слушатели - R.Zərgərli, С.Михайлов - Я пью тебя до дна (скрытые)",blocked,-,500,1416.13,6383,62,4.22,464,109,64.38,4,247,668.58,0,957,148,122,182,7,11013000,Авто,Минимальная цена,17068818
Akris & Teddy - мж 18-44 - подписчики - HOVO - Снег (скрытые),deleted,-,200,5536.37,24588,175,7.55,365,401,74.39,10,68,386.94,0,2749,1364,929,267,29,15400196,Цена кампании,Минимальная цена,15936312
мж 25-34 - подписчики - DAKENA - Гирлянда (скрытые),deleted,-,200,2026.55,7998,176,6.11,727,536,102.68,9,0,0.22,0,1666,193,132,74,11,3895443,Авто,Минимальная цена,15780869
"мж 25-34 - слушатели - SAYAN - Тот, кто (скрытые)",blocked,-,150,1061.29,5975,21,1.37,354,424,41.45,22,6,197.31,0,22,1,2,6,2,11738162,Авто,Минимальная цена,16113747
"HAMMALI & NAVAI - ж 16-18 - слушатели - HAMMALI, Akmal' - О чем ты не спишь по ночам (скрытые)",blocked,-,1000,0.36,1,0,0.01,1,1,1.14,0,0,40.15,0,1,0,1,1,0,1629625,Авто,Минимальная цена,16463661
ж 25-44 - слушатели - DAKENA - Стань моим (скрытые),deleted,-,300,1019.09,4240,118,4.46,1043,554,152.11,14,157,517.24,0,7745,2034,3079,2586,192,6458086,Авто,Минимальная цена,17103172
DAKENA_Спишь?_ЦД_KATEARTIS,deleted,-,Бюджет кампании,0.38,1,2,0.06,255,277,81.44,7,142,241.71,0,5,12,8,10,0,1648791,Авто,-,15211080
Рустам Батербиев - м 19-35 - слушатели - Марат Альборов - Другой не надо (скрытые),deleted,-,1000,611.49,1703,4,0.35,18,19,7.03,2,20,171.17,0,107,24,3,1,0,12363927,Авто,Минимальная цена,16980192
Idris & Leos - Стихи пламени 14 ID:1031501468,deleted,-,Бюджет кампании,126.18,440,60,3.78,313,383,44.52,35,110,289.85,0,1411,241,180,49,7,13489145,Авто,Минимальная цена,15393165
3-ий Январь - мж 25-45 -  Сателлит - Под бой курантов (скрытые),blocked,-,3000,0.1,1,0,0.04,1,1,14.12,0,0,0.01,0,2,0,1,1,0,14451025,Авто,-,16114268
Стас 7+_мж 30-55_Стас Михайлов_Летай_ЦД (музыка),deleted,-,1000,0.04,0,0,0.02,3,4,28.33,0,11,153.07,0,1,0,1,1,0,8554406,Авто,Минимальная цена,15211092
Света - мж 18-24 - Руки Вверх! - Новый год (скрытые),deleted,-,Бюджет кампании,0.18,1,0,0.07,30,45,69.85,4,213,516.17,0,2,0,1,8,0,351941,Цена кампании,Минимальная цена,15777935
EMIN 5+ - мж 18-24 - EMIN - Зима (скрытые),deleted,-,500,976.32,2698,55,20.11,81,46,100.31,6,42,337.78,0,1626,207,173,57,0,2016596,Авто,Минимальная цена,15779672
EMIN 3+ - ж 25-34 - EMIN - Зима (скрытые),deleted,Бюджет кампании,Бюджет кампании,2.79,10,0,0.04,27,9,9.7,1,452,1209.67,0,3,0,1,1,0,5598721,Цена кампании,-,15854870
Love is_EMIN_Не предавай_ЦД,deleted,-,2000,734.41,4960,39,1.52,63,111,82.74,3,259,521.72,0,2817,273,221,127,13,5817148,Авто,Минимальная цена,15777935
ж 36-45 - более 5 - Turken - Лучше меня (скрытые),blocked,-,1000,2221.46,11563,173,8.11,202,162,56.17,3,0,17.56,0,1203,212,229,121,75,1632685,Цена кампании,Минимальная цена,18679625
Damir Za Vas - ж 25-34 - базы - SAYAN - Бросай курить (скрытые),active,-,-,3.53,15,0,0.11,31,11,23.29,6,0,20.5,0,33,14,7,1,0,5202222,Цена кампании,Минимальная цена,19078001
ж 35-44 - слушатели - ALEX ANDREEV - I love you (скрытые),deleted,-,-,1054.13,4562,11,16.34,97,1,52.04,0,36,279.56,0,4898,745,244,175,6,5247101,Авто,Минимальная цена,16013955
Лисицын - мж 18-24 - Сателлит - Под бой курантов (скрытые),deleted,-,1000,4202.95,18514,347,11.26,954,119,28.47,9,4,68.18,0,27511,3238,3034,1659,571,10678315,Авто,Минимальная цена,15854870
"мж 29-35 - более 7 - Turken – Досрочно - базы - Россия, Казахстан, Беларусь (скрытые)",blocked,Бюджет кампании,1000,1174.62,7817,141,12.74,45,103,77.34,0,199,643.93,0,2530,384,118,77,6,10660960,Авто,Минимальная цена,17153699
м 18-24 - слушатели - EMIN - Зима (скрытые),deleted,-,1000,269.46,2187,9,2.78,8,2,4.93,0,75,336.74,0,938,92,93,57,3,11040017,Авто,Минимальная цена,15777935
"м 24-45 - более 5 - Bahh Tee - Не плачь, мам (скрытые)",deleted,-,7000,144.61,986,8,0.82,33,55,43.8,7,43,234.33,0,1,0,1,1,0,14650450,Авто,Минимальная цена,17814578
ж 19-35 - Plokhaya_privychka - Asammuell - Грустные глаза (скрытые) - базы треки,deleted,-,Бюджет кампании,0.0,0,0,1.28,1,1,0.1,0,95,377.68,0,1,0,1,1,0,9932733,Цена кампании,Минимальная цена,17715427
ж 14-18 - The Limba – Винчестер - слушатели - Россия (скрытые),deleted,-,300,12.37,41,5,2.51,25,22,15.29,0,470,938.91,0,165,150,15,2,0,220033,Авто,Минимальная цена,16386012
"Копия обложка - ж 25-34 - слушатели - HAMMALI - Мой дом там, где ты (скрытые)",blocked,-,1000,32.79,152,21,1.81,87,22,33.71,2,0,2.3,0,903,138,474,666,110,4622539,Авто,Минимальная цена,19078293
"м 18-20 - слушатели - SEREBRO - Кто я для тебя - Россия, Беларусь, Казахстан (скрытые)",blocked,-,2000,6559.66,35744,768,24.16,1829,1643,159.83,4,0,48.24,0,20440,4589,2879,1832,642,6914275,Авто,Минимальная цена,16549404
Эллаи - мж 18-44 - подписчики - HOVO - Снег (скрытые),deleted,-,300,1815.93,9180,84,7.54,805,446,126.24,5,23,209.87,0,2363,310,224,305,68,7031345,Авто,Минимальная цена,16013955
ж 29-35 - слушатели - NITI DILA - Манифест (скрытые),deleted,-,300,3948.26,17530,586,9.73,1141,1654,186.52,19,65,519.81,0,10313,1351,2384,3235,788,8655154,Авто,Минимальная цена,16386012
м 24-28 - слушатели - Марат Альборов - Другой не надо (скрытые),deleted,-,300,1544.68,7735,65,7.25,152,318,117.83,1,1,117.94,0,3841,854,630,864,187,11146437,Цена кампании,-,17536979
SLAVA SKRIPKA - мж 25-34 - слушатели - Артур Пирожков - Чат ДжиПиТи (скрытые),deleted,-,3000,4778.09,24405,232,5.14,1210,365,54.73,11,2,128.91,0,10713,1212,339,231,62,9027535,Авто,Минимальная цена,16014168
м 30-35 - подписчики - Idris и Leos - Боль и страх (скрытые),deleted,-,-,328.65,1065,4,1.1,201,40,103.61,6,67,274.47,0,9238,883,870,810,212,13379087,Авто,Минимальная цена,15933553
"мж 29-35 - более 2 - Turken – Досрочно - базы - Россия, Казахстан, Беларусь (скрытые)",deleted,-,300,87.71,504,0,0.21,8,13,41.28,0,18,164.56,0,111,3,6,2,0,3751950,Авто,Минимальная цена,16633352
Akmal Xolxodjayev - мж 18-44 - Руслан Добрый - Верный друг (скрытые),deleted,-,10000,18.43,79,1,0.0,174,261,72.77,3,520,1132.27,0,495,39,88,282,3,16154185,Авто,Минимальная цена,16386012
мж 19-24 - подписчики - Nasty Babe - Патрики (скрытые),deleted,-,5000,842.22,3732,156,7.0,267,463,117.77,10,0,21.88,0,3667,908,1230,1965,433,15853445,Авто,Минимальная цена,16464703
VESNA305 - мж 24-55 - базы (позитив) - Сателлит/Виктор Антонов - Улетаю домой (скрытые) - обложка,blocked,-,4000,5348.81,22305,229,4.52,725,1650,174.18,25,48,260.31,0,7551,3263,2398,2211,187,15775126,Авто,Минимальная цена,19258475
Azzi,active,-,Бюджет кампании,2158.28,14550,47,1.19,770,766,202.95,9,4,75.8,0,22741,1526,2372,2627,395,13998978,Авто,Минимальная цена,16386129
ALEX NOVICH - м 20-35 - слушатели - MILAVA - Фиаско (скрытые),deleted,-,2000,23.5,47,1,3.48,12,1,21.87,0,28,202.92,0,614,104,15,96,2,9711821,Авто,Минимальная цена,17155585
Ahmed Shad - мж 18-44 - подписчики - HOVO - Снег (скрытые),deleted,-,500,278.02,790,13,5.78,111,1,10.51,0,152,463.73,0,813,269,247,75,2,8158916,Авто,Минимальная цена,15935617
мж 19-45 - слушатели - Мохито - Перед рассветом (Remix) (премьерный),deleted,-,Бюджет кампании,13.17,128,1,0.01,147,84,22.84,12,16,175.48,0,104,6,20,3,1,12276984,Цена кампании,-,16013955
"ж 24-28 - Bahh Tee Turken (позитив) - Turken – Досрочно - базы - Россия, Казахстан, Беларусь (скрытые)",blocked,-,500,2.65,9,0,0.22,1,1,13.55,1,0,6.89,0,4,1,17,7,0,12352102,Авто,Минимальная цена,16635417
ж 45-54 - слушатели - Руки Вверх! - Новый год (скрытые),deleted,-,200,0.0,0,0,0.51,1,1,6.81,0,36,220.86,0,1,0,1,1,0,13973091,Авто,Минимальная цена,15780869
База EMIN 5+,blocked,-,300,956.65,2555,23,13.17,26,15,18.19,0,110,320.31,0,1381,234,43,9,0,14713130,4,Минимальная цена,19333255
"SONYA - мж 18-44 - слушатели - SAYAN - Тот, кто (скрытые)",blocked,-,Бюджет кампании,75.37,244,3,3.12,31,115,52.26,4,15,159.25,0,504,55,11,2,1,13789434,Авто,Минимальная цена,16527401
Александр Карташ - мж 18-44 - Tural Everest - Верный друг (скрытые),deleted,-,Бюджет кампании,902.38,3634,57,9.77,175,59,75.35,1,28,120.13,0,6373,827,863,1927,199,16348281,Авто,-,15933553
м 45-49 - подписчики - Руки Вверх! - Новый год (скрытые),deleted,-,500,12.28,79,4,1.08,23,4,26.25,1,0,0.14,0,60,6,7,54,17,3991236,Авто,-,15780869
ж 25-34 - слушатели - Сателлит feat. Рина - По следам любви (скрытые),blocked,-,-,484.85,2674,98,5.45,726,171,40.87,5,0,10.27,0,3855,616,110,131,3,60145,Авто,Минимальная цена,16386325
мж 24-55 - слушатели - Виктор Антонов - Улетаю домой (скрытые) - аним,deleted,-,1000,0.97,4,0,0.18,2,1,3.77,0,0,6.87,0,5,2,2,1,0,10400036,Авто,Минимальная цена,18933081
ж 45-54 (2) - слушатели - Сателлит - Под бой курантов (скрытые),deleted,-,500,42.83,276,1,0.42,56,16,31.5,4,47,299.58,0,1182,205,252,88,27,3686411,Авто,Минимальная цена,15854870
Idris & Leos - Синан чов 15 ID:1031575875,deleted,-,-,4.07,47,0,0.13,2,1,2.88,0,9,141.16,0,10,2,1,2,0,15465973,Авто,Минимальная цена,15777935
"ж 24-28 - SHAMI - слушатели - SHAMI, Idris & Leos - Ты не одна (скрытые)",deleted,-,150,1085.43,3436,31,10.53,199,1,12.08,1,690,1389.96,0,2723,240,277,182,6,5459454,Авто,Минимальная цена,16805402
м 37-38 - подписчики - Руки Вверх! - Новый год (скрытые),deleted,-,300,284.94,1501,27,0.26,75,171,13.98,21,0,3.49,0,201,116,266,308,60,10995009,Авто,Целевая цена,15780869
мж 19-24 - слушатели - Эллаи - Парадокс  (скрытые),deleted,-,300,18630.79,82285,1778,47.73,1866,1428,169.81,15,700,1388.12,0,32507,5211,2234,1734,165,5029052,Авто,Минимальная цена,16633125
Стас 10+_ж 29-45_Слушатели_Стас Михайлов_Летай_ЦД (музыка),deleted,Бюджет кампании,Бюджет кампании,0.08,1,0,0.01,1,1,11.28,2,70,346.03,0,1,0,1,1,0,6342077,Цена кампании,-,15777935
ж 24-28 - подписчики - Grivina - Минимум (скрытые),deleted,-,500,1.67,6,0,0.12,1,1,14.2,0,371,954.02,0,1,0,1,1,0,12046723,Цена кампании,-,15933553
"EMIN - ж 24-28 - подписчики - EMIN, Amanda Holden - Somethin' Stupid  (скрытые)",deleted,-,200,2126.85,9904,144,24.06,169,102,120.7,0,31,203.3,0,11923,1173,1124,1053,236,16731452,Авто,Минимальная цена,16895575
мж 24-55 - базы (позитив) - Сателлит/Виктор Антонов - Улетаю домой (скрытые) - ролик,deleted,-,1000,72.89,404,2,0.06,56,65,28.52,7,0,12.81,0,49,45,109,227,18,11433171,Авто,Минимальная цена,18930615
Мария Зайцева,deleted,-,1500,8281.73,49192,261,8.89,453,767,118.91,13,0,4.83,0,11200,3348,1209,631,99,10619855,Авто,Минимальная цена,19333255
ж 35-44 - подписчики - EMIN - Зима (скрытые),deleted,-,Бюджет кампании,995.49,5584,414,4.7,775,1390,183.32,25,63,239.03,0,2155,1053,1477,938,140,6107598,Авто,-,15777935
Копия HOVO - мж 18-34 - базы - SAYAN - Закрой мои глаза (скрытые) - ролик,blocked,-,700,267.49,735,1,2.38,5,7,1.52,1,0,19.81,0,25,7,21,137,1,12095890,Авто,Минимальная цена,19078293
ж 35-44 - подписчики - ALEX ANDREEV - Пьяная любовь (скрытые),deleted,-,Бюджет кампании,322.17,1805,44,11.38,38,94,120.36,2,0,18.69,0,573,328,329,204,87,11922787,Цена кампании,Минимальная цена,16013576
"EMIN, Ани Лорак - Будет здорово 6 ID:1031687937",deleted,-,1000,180.56,726,14,0.76,168,207,143.75,2,118,451.88,0,891,215,223,208,30,1116083,Авто,Минимальная цена,15210971
м 35-44 - подписчики  - EMIN - Зима (скрытые),deleted,-,Бюджет кампании,1964.98,7824,165,8.07,997,217,60.33,5,34,213.45,0,6349,964,2079,2589,341,9680849,Цена кампании,Минимальная цена,15406380
"HAMMALI - ж 19-24 - слушатели - HAMMALI, Akmal' - О чем ты не спишь по ночам (скрытые)",blocked,-,Бюджет кампании,259.42,517,19,5.01,229,80,88.75,0,6,53.0,0,108,181,104,40,1,564093,Авто,-,16151500
м 18-24 - слушатели - ALEX ANDREEV - Кавказский груз,deleted,-,5000,5171.46,29234,149,17.3,30,31,28.57,4,1,25.41,0,8418,538,957,432,46,10311663,Цена кампании,Минимальная цена,15854870
Краймбрери - ж 29- 35 - слушатели - Мохито - Перед рассветом (Remix) (скрытые) - похожие,deleted,-,600,72.16,298,1,0.12,30,99,23.65,5,1,49.06,0,46,48,11,12,1,13331289,Авто,Минимальная цена,16548823
ж 25-34 (2) - слушатели - Сателлит - Под бой курантов (скрытые),deleted,-,500,613.17,2598,60,2.2,425,20,18.49,16,98,300.81,0,9843,1402,1598,1032,341,13917607,Авто,Минимальная цена,15779672
"Игорь Крутой, Alex Lim (46-60)",blocked,-,700,22537.22,100506,1062,12.14,1992,451,33.81,29,43,198.9,0,5037,1698,482,38,13,4128685,Авто,Минимальная цена,19333255
Ева Власова - ж 24-45 - EMIN - Жизнь игра - похожие,deleted,-,500,200.45,1115,11,1.43,31,2,40.26,1,265,550.05,0,15,9,2,2,0,11623560,Авто,-,17529525
ж 45-54 - слушатели - Руки Вверх! - Новый год (скрытые),deleted,-,300,2740.25,15704,130,4.49,247,192,41.48,1,0,0.07,0,3147,888,569,566,86,2361487,Авто,Минимальная цена,15777935
"Эллаи - ж 18-34 - базы - SAYAN, GLAZUR - Закрой мои глаза 2.0 (скрытые) - обложка",blocked,-,500,7511.88,38421,506,10.79,988,825,92.72,9,190,629.46,0,28851,3860,1970,979,486,9622769,Авто,-,18679625
HOVOS - ж 25-34 - базы - SAYAN - Бросай курить (скрытые),blocked,Бюджет кампании,2000,133.06,489,17,3.45,51,7,10.15,0,258,801.3,0,1019,315,231,341,56,15189451,Авто,Минимальная цена,18930615
