campaign_name,status,budget_total,budget_daily,spent_total,impressions,clicks,ecpc,listens_started,audio_added,audio_added_price,audio_shared,playlist_added,playlist_added_price,playlist_shared,view_start,view_25,view_50,view_75,view_100,campaign_id,advertised_object,target_action,target_price,strategy
C_0076,deleted,-,Бюджет группы,740.0,17250,949,1.83,1886,1299,7.17,32,13,13077.21,0,18400,5179,2907,4093,1748,C_0076,Музыка,Старт прослушиваний,20,-
C_0077,deleted,Бюджет группы,Бюджет группы,0.06,346,5,0.04,9,51,0.47,1,0,0.12,0,16,6,6,0,1,C_0077,"Пост, видео, клип, статья",Продвижение поста,Цена группы,-
C_0078,deleted,Бюджет группы,Бюджет группы,18256.0,122496,4804,13.34,7992,2071,200.33,27,30,13610.66,0,71875,17767,5898,13737,3462,C_0078,Музыка,Старт прослушиваний,97,-
C_0079,deleted,Бюджет группы,Бюджет группы,8766.9,89139,1926,7.16,2450,377,46.66,6,0,876.86,0,49416,9985,2994,3249,1588,C_0079,Музыка,Старт прослушиваний,Цена группы,-
C_0080,blocked,Бюджет группы,Бюджет группы,3855.5,23338,213,11.65,248,104,81.6,1,0,106.33,0,7051,1834,245,527,319,C_0080,Музыка,Продвижение поста,Цена группы,-
C_0081,deleted,Бюджет группы,Бюджет группы,85.9,23197,906,3.1,200,200,0.1,31,0,5329.48,0,6662,1761,1242,273,782,C_0081,Музыка,Показы рекламы,Цена группы,-
C_0082,deleted,Бюджет группы,9069,45.94,2562,6,1.11,14,51,3.73,1,0,0.01,0,212,30,70,11,50,C_0082,Музыка,Старт прослушиваний,Цена группы,-
C_0083,deleted,Бюджет группы,Бюджет группы,2994.16,89097,3425,5.85,2637,868,22.68,34,0,0.19,0,99310,18723,5846,5470,2265,C_0083,Музыка,Старт прослушиваний,Цена группы,-
C_0084,deleted,Бюджет группы,Бюджет группы,472.04,31425,1696,2.0,1851,1069,34.35,34,0,23.18,0,130598,22324,5098,2745,1500,C_0084,Музыка,Продвижение поста,Цена группы,-
C_0085,blocked,-,Бюджет группы,0.01,1288,17,0.1,4,50,0.57,2,0,0.3,0,538,67,22,1,19,C_0085,Музыка,Показы рекламы,Авто,Минимальная цена
C_0086,deleted,Бюджет группы,Бюджет группы,200.94,16065,181,3.16,384,121,54.86,1,0,115.6,0,498,234,111,49,40,C_0086,Музыка,Старт прослушиваний,10,-
C_0087,deleted,Бюджет группы,50000,154.94,14935,510,12.25,8,2,2.29,2,118,12119.17,0,4201,413,54,540,343,C_0087,Музыка,Показы рекламы,Авто,-
C_0088,deleted,Бюджет группы,Бюджет группы,10741.62,92957,6496,13.76,7506,2529,335.81,20,0,1884.74,0,70227,28196,10147,19356,7062,C_0088,Музыка,Старт прослушиваний,Цена группы,-
C_0089,deleted,-,Бюджет группы,815.06,20433,1027,14.02,2509,517,178.25,1,159,14104.13,0,9664,1734,656,1892,773,C_0089,Музыка,Старт прослушиваний,Цена группы,-
C_0090,blocked,10000,Бюджет группы,3397.87,71144,2490,6.6,359,887,19.88,27,151,13230.05,0,45412,9939,5797,1917,2980,C_0090,Музыка,Старт прослушиваний,Цена группы,-
C_0091,deleted,Бюджет группы,Бюджет группы,53542.31,281449,9868,19.38,7710,992,180.31,27,48,8579.65,0,103774,30752,13343,34132,9165,C_0091,Музыка,Старт прослушиваний,100,Целевая цена
C_0092,deleted,-,-,0.0,15,2,0.06,3,24,0.03,17,0,1.91,4,0,0,1,0,0,C_0092,Сообщество и профиль Вконтакте,Показы рекламы,Цена группы,-
C_0093,deleted,Бюджет группы,Бюджет группы,88492.83,406151,10081,5.68,13025,3403,264.35,103,0,0.31,0,312394,73162,29687,29423,9864,C_0093,Музыка,Старт прослушиваний,Цена группы,-
C_0094,deleted,Бюджет группы,Бюджет группы,4780.98,86022,3896,7.79,2374,563,4.42,13,75,12694.57,0,4275,1545,597,1291,412,C_0094,Музыка,Старт прослушиваний,Цена группы,-
C_0095,blocked,Бюджет группы,-,0.0,4,1,0.0,35,69,0.34,2,0,444.98,0,0,0,1,0,0,C_0095,Музыка,Старт прослушиваний,100,-
C_0096,blocked,Бюджет группы,Бюджет группы,1068.08,53803,1589,10.52,572,297,6.6,12,0,1.54,0,6158,1196,723,1902,1160,C_0096,Музыка,Старт прослушиваний,Цена группы,Предельная цена
C_0097,blocked,-,-,22.59,6796,30,0.1,51,194,4.15,21,0,1790.28,0,1850,482,214,8,189,C_0097,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,-
C_0098,deleted,Бюджет группы,Бюджет группы,21054.77,81591,2366,11.89,1989,843,264.32,7,0,215.03,0,101546,19883,6919,12828,2119,C_0098,Музыка,Старт прослушиваний,Цена группы,-
C_0099,deleted,-,Бюджет группы,47301.18,304665,9494,12.87,5631,782,133.96,13,2,3565.16,0,73149,14871,4644,9139,2589,C_0099,Музыка,Старт прослушиваний,120,-
C_0100,deleted,Бюджет группы,25083,30.58,9021,447,1.73,320,146,28.3,1,64,14334.51,0,619,162,40,69,281,C_0100,Музыка,Старт прослушиваний,10,-
C_0101,deleted,Бюджет группы,Бюджет группы,21339.58,47094,1905,12.9,1415,342,51.33,3,0,0.01,0,16351,6339,1293,2620,519,C_0101,Музыка,Старт прослушиваний,Цена группы,-
C_0102,deleted,-,Бюджет группы,13950.79,82573,2367,8.43,1254,192,67.32,1,7,4738.59,0,47538,12565,4723,4489,2470,C_0102,Музыка,Старт прослушиваний,Авто,Минимальная цена
C_0103,blocked,Бюджет группы,Бюджет группы,11250.93,107043,2062,5.55,3391,1125,160.72,23,1,5906.95,0,62167,15727,6409,11660,4552,C_0103,Музыка,Старт прослушиваний,Авто,-
C_0104,deleted,Бюджет группы,Бюджет группы,539.02,10175,375,2.14,720,311,11.74,1,0,0.01,0,11993,4874,2008,1479,826,C_0104,Музыка,Старт прослушиваний,Цена группы,-
C_0105,deleted,Бюджет группы,Бюджет группы,15824.49,106922,2590,18.08,1607,400,50.68,4,14,5648.04,0,13551,3199,2808,7700,3349,C_0105,Музыка,Старт прослушиваний,100,-
C_0106,deleted,10000,Бюджет группы,275.43,33437,1489,2.89,506,429,37.88,3,0,37.89,0,516,169,47,42,50,C_0106,Музыка,Показы рекламы,Цена группы,-
C_0107,deleted,Бюджет группы,Бюджет группы,17530.92,246902,7872,13.1,6698,2241,277.09,34,80,10774.91,0,132829,35262,18557,13630,10643,C_0107,Музыка,Старт прослушиваний,Цена группы,-
C_0108,deleted,Бюджет группы,Бюджет группы,18737.14,175101,4682,12.48,3034,179,172.04,4,384,13562.14,0,84853,21839,7876,12166,3258,C_0108,Музыка,Продвижение поста,12,-
C_0109,deleted,-,Бюджет группы,0.0,5,1,0.0,21,85,2.92,2,0,13.27,0,5,1,2,0,0,C_0109,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,-
C_0110,deleted,-,39166,0.27,348,69,0.26,102,127,0.56,2,24,8919.92,0,153,107,41,7,20,C_0110,Музыка,Старт прослушиваний,Авто,Целевая цена
C_0111,deleted,Бюджет группы,25000,728.79,45011,1906,3.15,3678,1029,92.09,40,0,2774.83,0,15310,4385,2528,4178,2927,C_0111,Музыка,Старт прослушиваний,70,-
C_0112,blocked,Бюджет группы,Бюджет группы,392.12,12190,650,1.91,1138,370,30.75,2,0,413.72,0,4565,916,51,101,34,C_0112,Музыка,Старт прослушиваний,Цена группы,-
C_0113,blocked,Бюджет группы,Бюджет группы,24518.91,153577,2934,13.16,5879,1666,124.1,21,25,8393.65,0,40831,10528,5195,9433,4755,C_0113,Музыка,Старт прослушиваний,Авто,-
C_0114,deleted,Бюджет группы,Бюджет группы,0.25,105,14,4.2,2,1,19.41,1,0,3104.81,0,3,0,1,1,0,C_0114,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,-
C_0115,deleted,Бюджет группы,39166,46.53,4349,63,0.45,887,435,40.38,8,0,13.96,0,1039,260,79,77,46,C_0115,Музыка,Старт прослушиваний,100,-
C_0116,deleted,Бюджет группы,9166,133.5,18226,548,10.21,23,8,0.18,1,0,7.16,0,2960,284,137,192,315,C_0116,"Пост, видео, клип, статья",Продвижение поста,Цена группы,Минимальная цена
C_0117,deleted,Бюджет группы,Бюджет группы,77796.5,267133,9962,61.4,6223,300,440.23,1,93,14170.89,0,127863,21816,8140,16707,5395,C_0117,Музыка,Старт прослушиваний,100,-
C_0118,deleted,-,Бюджет группы,1416.13,38106,944,0.14,3305,1317,27.88,19,0,48.73,0,2742,863,514,98,91,C_0118,Музыка,Старт прослушиваний,10,Минимальная цена
C_0119,deleted,Бюджет группы,5000,7533.0,151825,4212,9.32,270,628,0.28,73,0,0.08,0,16727,3627,3339,1412,1535,C_0119,Музыка,Старт прослушиваний,150,-
C_0120,blocked,-,Бюджет группы,3.36,3850,24,4.2,1,2,0.04,1,0,1898.92,0,1741,83,26,87,87,C_0120,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,Целевая цена
C_0121,deleted,Бюджет группы,10000,5.08,824,10,2.15,16,2,6.72,1,79,6616.18,0,63,21,2,0,1,C_0121,Музыка,Старт прослушиваний,Цена группы,-
C_0122,blocked,-,Бюджет группы,12738.49,142982,6716,19.57,1823,593,27.83,16,0,0.01,0,99622,30544,11290,15954,8164,C_0122,"Пост, видео, клип, статья",Старт прослушиваний,Авто,Минимальная цена
C_0123,deleted,Бюджет группы,Бюджет группы,56637.31,300841,9163,29.24,2586,974,42.34,33,0,311.6,0,171327,34560,10076,3989,2500,C_0123,Музыка,Показы рекламы,Цена группы,-
C_0124,deleted,Бюджет группы,-,59954.49,249785,6945,10.68,7149,1696,131.11,2,46,11026.09,0,104428,26941,9185,6948,1855,C_0124,Музыка,Старт прослушиваний,Цена группы,-
C_0125,deleted,Бюджет группы,Бюджет группы,9817.06,58140,3448,8.83,1006,463,67.26,16,304,11840.21,1,62562,15862,2246,2771,768,C_0125,Музыка,Показы рекламы,Цена группы,-
C_0126,deleted,-,25083,1845.68,20368,235,10.04,4,20,4.03,1,2,6906.84,0,3084,626,39,26,13,C_0126,Сообщество и профиль Вконтакте,Старт прослушиваний,150,-
C_0127,deleted,Бюджет группы,Бюджет группы,33173.51,222546,5130,4.72,6005,1495,24.53,151,0,0.9,0,109317,24245,7500,2908,1399,C_0127,Музыка,Старт прослушиваний,Цена группы,-
C_0128,deleted,Бюджет группы,-,0.05,57,1,0.09,108,25,35.56,1,1,121.11,0,1,2,4,1,5,C_0128,Музыка,Старт прослушиваний,100,Минимальная цена
C_0129,deleted,-,Бюджет группы,0.07,206,2,0.01,11,63,25.2,1,358,14373.05,0,1,1,1,0,0,C_0129,"Пост, видео, клип, статья",Показы рекламы,100,Целевая цена
C_0130,deleted,Бюджет группы,1000,107.59,635,13,2.67,45,9,4.95,1,16,8662.8,0,1475,165,8,8,0,C_0130,Музыка,Старт прослушиваний,Цена группы,-
C_0131,deleted,Бюджет группы,Бюджет группы,27928.93,179891,2613,15.57,3334,681,279.96,1,0,507.95,0,15546,2407,1261,1232,1033,C_0131,Музыка,Старт прослушиваний,Цена группы,-
C_0132,blocked,Бюджет группы,5000,1427.97,40682,265,2.61,89,76,1.14,1,141,14239.61,0,8609,1643,440,52,76,C_0132,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,-
C_0133,deleted,Бюджет группы,5000,2994.14,32745,178,16.31,36,8,10.29,1,0,0.01,0,14212,2676,486,195,186,C_0133,Музыка,Старт прослушиваний,Цена группы,Целевая цена
C_0134,deleted,Бюджет группы,Бюджет группы,0.04,35,2,0.2,10,3,8.58,1,154,13349.4,4,1,0,1,0,0,C_0134,Музыка,Старт прослушиваний,100,-
C_0135,blocked,Бюджет группы,500,6842.8,100916,1182,8.01,18,67,0.04,4,0,0.28,0,86692,16758,4070,1544,1066,C_0135,Музыка,Старт прослушиваний,Авто,Целевая цена
C_0136,deleted,1000,Бюджет группы,9521.97,177063,6473,16.15,3834,1975,195.04,23,0,912.64,0,110274,21723,12999,22580,7245,C_0136,Музыка,Старт прослушиваний,150,Целевая цена
C_0137,blocked,Бюджет группы,Бюджет группы,2812.23,28699,1159,8.83,2958,282,178.4,3,2,9966.71,0,74432,10231,2198,4554,1485,C_0137,Музыка,Старт прослушиваний,Цена группы,-
C_0138,blocked,Бюджет группы,Бюджет группы,7.74,5907,148,0.31,692,1063,17.4,27,0,7.0,0,2739,1142,208,3,179,C_0138,Музыка,Старт прослушиваний,Цена группы,-
C_0139,deleted,Бюджет группы,Бюджет группы,2163.51,95699,2383,2.74,1911,1360,5.65,100,25,6548.95,1,5712,1202,1792,1711,2101,C_0139,Музыка,Показы рекламы,Цена группы,-
C_0140,blocked,Бюджет группы,Бюджет группы,4880.72,70048,1273,8.58,111,310,40.05,3,0,4296.55,0,77652,14004,4961,4483,2611,C_0140,Музыка,Старт прослушиваний,Цена группы,-
